File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.cpp,"CMFCSingleDocVehiclesView::OnStyleChanged(int nStyleType, LPSTYLESTRUCT lpStyleStruct)",3,2,2,0,0,0,1,15,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlEx.cpp,CTreeCtrlEx::CTreeCtrlEx(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlEx.cpp,CTreeCtrlEx::~CTreeCtrlEx(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlEx.cpp,"CTreeCtrlEx::SetItemColor(HTREEITEM hItem, COLORREF color)",6,6,5,1,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlEx.cpp,CTreeCtrlEx::GetItemBold(HTREEITEM hItem),2,2,2,1,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlEx.cpp,CTreeCtrlEx::GetItemColor(HTREEITEM hItem),6,5,4,3,0,0,1,7,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlEx.cpp,CTreeCtrlEx::OnPaint(),81,53,41,6,20,1,8,71,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlExx.cpp,CTreeCtrlEx::CTreeCtrlEx(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlExx.cpp,CTreeCtrlEx::~CTreeCtrlEx(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlExx.cpp,"CTreeCtrlEx::SetItemFont(HTREEITEM hItem, LOGFONT& logfont)",6,6,5,1,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlExx.cpp,"CTreeCtrlEx::SetItemBold(HTREEITEM hItem, BOOL bBold)",2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlExx.cpp,"CTreeCtrlEx::SetItemColor(HTREEITEM hItem, COLORREF color)",6,6,5,1,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlExx.cpp,"CTreeCtrlEx::GetItemFont(HTREEITEM hItem, LOGFONT * plogfont)",9,8,6,5,1,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlExx.cpp,CTreeCtrlEx::GetItemBold(HTREEITEM hItem),2,2,2,1,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlExx.cpp,CTreeCtrlEx::GetItemColor(HTREEITEM hItem),7,5,4,3,1,0,1,7,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\TreeCtrlExx.cpp,CTreeCtrlEx::OnPaint(),84,55,43,6,21,0,8,67,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\LeftView.h,CLeftView::GetDocument(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesView.h,CMFCSingleDocVehiclesView::GetDocument() const,1,1,1,0,0,0,0,0,
