File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,"CMainFrame::LoadFrame(UINT nIDResource, DWORD dwDefaultStyle, CWnd* pParentWnd, CCreateContext* pContext)",25,18,12,5,5,0,2,13,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,CMainFrame::OnToolsAddvehicle(),16,13,11,1,3,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MainFrm.cpp,"CMainFrame::OnLButtonDown(UINT nFlags, CPoint point)",4,2,2,0,0,0,2,12,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::CMFCSingleDocVehiclesApp(),18,7,5,0,3,0,8,69,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::InitInstance(),84,41,32,7,18,2,25,211,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::ExitInstance(),5,3,3,1,1,0,1,8,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CAboutDlg::CAboutDlg(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CAboutDlg::DoDataExchange(CDataExchange* pDX),2,2,2,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::OnAppAbout(),3,3,3,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::PreLoadState(),6,6,6,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::LoadCustomState(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles.cpp,CMFCSingleDocVehiclesApp::SaveCustomState(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::CMFCSingleDocVehiclesDoc(),3,1,1,0,1,0,1,6,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::~CMFCSingleDocVehiclesDoc(),1,1,1,0,0,0,0,0,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::OnNewDocument(),8,4,3,3,2,0,2,11,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::Serialize(CArchive& ar),9,7,3,1,0,0,2,10,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,"CMFCSingleDocVehiclesDoc::OnDrawThumbnail(CDC& dc, LPRECT lprcBounds)",17,12,12,0,4,0,1,8,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::InitializeSearchContent(),7,3,3,0,1,0,3,20,
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles\MFCSingleDoc_VehiclesDoc.cpp,CMFCSingleDocVehiclesDoc::SetSearchContent(const CString& value),15,15,9,2,0,0,0,0,
