Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,24,2449,1597,915,109,567,63,285,1634,32,133
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles,24,2449,1597,915,109,567,63,285,1634,32,133
D:\_Projects\_Cpp\Kurs\MFCSingleDoc_Vehicles\MFCSingleDoc_Vehicles,24,2449,1597,915,109,567,63,285,1634,32,133
